ID,Title,Url,Summary,Year,DeveloperName,DeveloperID,GameID,1,Tetris,https://www.igdb.com/games/tetris,"Tetris is a tile-matching puzzle video game. The goal is to place pieces made up of four tiles in a ten-by-twenty well, organizing them into complete rows, which then disappear. The main objective of each round is to clear 25 lines, after which the player moves on to the next round. If the stack reaches the top of the field, the player loses a life, and if all three lives are lost, the game is over.

The game lets the player choose the starting stage and round, as well as one of three background tunes. Difficulty is increased throughout the stages by an increase in speed and the addition of garbage blocks in the well.",1989,Nintendo,70,8197
416,SimCity 3000,https://www.igdb.com/games/simcity-3000,"SimCity 3000, released in 1999 as the third major installment in the SimCity series, continues its successful course as a city building simulation game. In SimCity 3000 new tools have been introduced to create and control the city build-ups. Recreate the world's greatest cities using predefined landscapes such as San Francisco or Berlin and landmark buildings like the Empire State Building or Big Ben. Negotiate and barter with neighbouring cities to strengthen your metropolis and seal contracts to import water or get rid of huge amounts of waste.",1999,Maxis,284,237
417,Jet Set Radio Future,https://www.igdb.com/games/jet-set-radio-future,"Jet Set Radio Future is a video game developed by Smilebit and is the sequel to Jet Set Radio. Similar to the original, it depicts a future Tokyo where freedom of expression is outlawed. The user plays a character in the GG's, a gang of in-line skating graffiti artists who skate around Tokyo covering up rival gangs' graffiti, knocking over Rokkaku police, and dancing to the electric soundtrack. The game uses a cel-shaded style of animation, and has been widely acclaimed for its unique music style, detailed art, and gameplay. Though the game is set in the future, its style and content incorporates many aspects of 1980's old school hip hop culture, as well as 1990's J-pop culture.",2002,Smilebit,874,1570
418,Castlevania III: Dracula's Curse,https://www.igdb.com/games/castlevania-iii-dracula-s-curse,"Led by the immortal Count Dracula, the greatest army of evil ever assembled is poised to bury mankind in a Tomb of Terror. Destroying this legion of Swamp Dragons, Slasher Skeletons and Forces of the Undead will be the supreme challenge for the mightiest of warriors. Your place in history is 100 years before Simon Belmont's birth. Dracula is young at heart, and it will take more than a stake to penetrate his evil. Luckily, you command the role of Trevor - Simon's forefather and the origin of the Belmont Warlord Chromosomes. Trevor has a power never before seen by human eyes - the power to transform into three different spirits: Grant DaNasty, the ferocious Ghost Pirate. Sypha, the Mystic Warlord. And Alucard, Dracula's forgotten son. You must perfectly time Trevor's body transformations to match up his different fighting spirits against Ultimate Evils. Trevor also has the strength and wisdom to command the Battle Axe, Invisibility Potion and Mystic Whip. But the most important weapon Trevor has is your cunning to choose the correct Paths of Fate and your bravery to lead him past 17 possible levels of never-ending doom, including the Haunted Ship of Fools, the Sunken City of Poltergeists, the Clock Tower of Untimely Death and Curse Castle. Never before have so many dangers confronted you at one time. And if by some miracle you triumph, you'll no longer be a mere mortal. You'll be a legend who'll live forever!",1990,Konami,129,1119
419,Final Fantasy IX,https://www.igdb.com/games/final-fantasy-ix,"Final Fantasy IX is the ninth main installment in the FF series. The title is a return to the series's roots, with gameplay features and references to the past games featuring throughout, as well as a medieval fantasy setting and cartoonish art style as a break from the sci-fi slant style of Final Fantasy VII and Final Fantasy VIII.",2000,Square,250,421
420,Pole Position,https://www.igdb.com/games/pole-position,The very first racing game with the rear perspective camera and track based on real life.,1982,Namco Limited,13956,5691
421,PlayerUnknown's Battlegrounds,https://www.igdb.com/games/pubg-battlegrounds,PUBG: Battlegrounds is a battle royale shooter that pits 100 players against each other in a struggle for survival. Gather supplies and outwit your opponents to become the last person standing.,2017,PUBG Corp,13579,27789
422,After Burner,https://www.igdb.com/games/after-burner,"Muster up all the skill, reflexes and guts you've got. Because inside your F-14 Thunder Cat, you're going to need all that - and more.

Blast laser-directed, anti-aircraft fire at enemy planes. Dodge heat-seeking missiles with fancy flywork, like dips, turns and barrel rolls. Come head to head with the infamous Flying Fortresses (the toughest of all enemies) and dogfight your way through, to a nanosecond of safety.

And if you make it far enough, a fuel tanker will be waiting for you. Dock successfully and you'll replenish valuable energy and ammunition.

So get your adrenaline pumping and grab your joystick. Then take to the skies. You're not going to believe what's up there!",1987,Sega AM2,830,5468
423,Legacy of Kain: Soul Reaver,https://www.igdb.com/games/legacy-of-kain-soul-reaver,"A third-person action/adventure game in which, after the events of Blood Omen: Legacy of Kain (1996), Kain has created a vampiric empire in the world of Nosgoth. One of Kain's children and underlings, Raziel, is disgraced and cast down by a jealous Kain after surpassing him by growing wings and woken up centuries after in a corrupted form to get revenge against his once-brothers.",1999,Crystal Dynamics,552,4122
424,Wing Commander II: Vengeance of the Kilrathi,https://www.igdb.com/games/wing-commander-ii-vengeance-of-the-kilrathi,"You may be the hottest pilot in the fleet, but this will cool your jets! In Wing Commander you blast your way through the Vega Campaign. You'd better be as good as your reputation because the stakes are too high to play it safe. Just when you think that the action can't get any more intense, or the opposition any stiffer, you'll plunge into Wing Commander II. Disgraced and unjustly court-martialed, you have to prove yourself once again and earn the respect of the Confederation High Command. Of course, there is also the little matter of preventing the destruction of the Terran home-worlds.",1991,Origin Systems,295,940
425,"King's Quest VI: Heir Today, Gone Tomorrow",https://www.igdb.com/games/king-s-quest-vi-heir-today-gone-tomorrow,"The game takes place almost entirely in a fictional kingdom called the Land of the Green Isles. The kingdom comprises several islands, and is described as being largely isolated from the outside world. The player can travel between different islands after obtaining a magic map.

The center of the kingdom is the Isle of the Crown, which has an Arabian Nights theme. The Isle of Wonder is inspired by Alice in Wonderland, and the Isle of the Sacred Mountain is inspired by Classical mythology. The Isle of the Beast is heavily forested and scattered with magical barriers. There also are additional hidden areas. One of these is inhabited by a tribe of druids, while another gives the player the option to confront Death.

The game's opening cutscene shows Prince Alexander haunted by his memories of Princess Cassima, who he met at the end of King's Quest V when they were both rescued from the wizard Mordack. After seeing a vision of Cassima in the magical mirror that his father acquired in the first King's Quest, he sails to find her. At the beginning of the game he is shipwrecked on the shore of the Isle of the Crown, where he learns that the vizier Abdul Alhazred (named after the author of the fictional Necronomicon) has assumed control in Cassima's absence, and plans to force her marry him. Alexander must explore the Land of the Green Isles in order to find and learn what he needs to rescue Cassima from the vizier.",1992,Sierra On-Line,32,7501
